New (Shinjitai),Grade,English meaning,Readings
鍵,S,key,"ケン、かぎken, kagi"
繭,S,cocoon,"ケン、まゆken, mayu"
顕,S,appear,ケンken
懸,S,suspend,"ケン、（ケ）、か-ける、か-かるken, (ke), ka-keru, ka-karu"
幻,S,phantasm,"ゲン、まぼろしgen, maboroshi"
玄,S,mysterious,ゲンgen
弦,S,bowstring,"ゲン、つるgen, tsuru"
舷,S,gunwale,ゲンgen
股,S,crotch,"コ、またko, mata"
虎,S,tiger,"コ、とらko, tora"
孤,S,orphan,コko
弧,S,arc,コko
枯,S,wither,"コ、か-れる、か-らすko, ka-reru, ka-rasu"
雇,S,employ,"コ、やと-うko, yato-u"
誇,S,boast,"コ、ほこ-るko, hoko-ru"
鼓,S,drum,"コ、つづみko, tsuzumi"
錮,S,tie up,コko
顧,S,look back,"コ、かえり-みるko, kaeri-miru"
互,S,mutually,"ゴ、たが-いgo, taga-i"
呉,S,give,ゴgo
娯,S,recreation,ゴgo
悟,S,enlightenment,"ゴ、さと-るgo, sato-ru"
碁,S,Go,ゴgo
勾,S,capture,コウkō
孔,S,cavity,コウkō
巧,S,adroit,"コウ、たく-みkō, taku-mi"
甲,S,armor,"コウ、カンkō, kan"
江,S,inlet,"コウ、えkō, e"
坑,S,pit,コウkō
抗,S,confront,コウkō
攻,S,aggression,"コウ、せ-めるkō, se-meru"
更,S,grow late,"コウ、さら、ふ-ける、ふ-かすkō, sara, fu-keru, fu-kasu"
拘,S,arrest,コウkō
肯,S,agreement,コウkō
侯,S,marquis,コウkō
恒,S,constancy,コウkō
洪,S,deluge,コウkō
荒,S,laid waste,"コウ、あら-い、あ-れる、あ-らすkō, ara-i, a-reru, a-rasu"
郊,S,outskirts,コウkō
貢,S,tribute,"コウ、（ク）、みつ-ぐkō, (ku), mitsu-gu"
控,S,withdraw,"コウ、ひか-えるkō, hika-eru"
梗,S,close up,コウkō
喉,S,throat,"コウ、のどkō, nodo"
慌,S,disconcerted,"コウ、あわ-てる、あわ-ただしいkō, awa-teru, awa-tadashii"
硬,S,stiff,"コウ、かた-いkō, kata-i"
絞,S,strangle,"コウ、しぼ-る、し-める、し-まるkō, shibo-ru, shi-meru, shi-maru"
項,S,paragraph,コウkō
溝,S,gutter,"コウ、みぞkō, mizo"
綱,S,hawser,"コウ、つなkō, tsuna"
酵,S,fermentation,コウkō
稿,S,draft,コウkō
衡,S,equilibrium,コウkō
購,S,subscription,コウkō
乞,S,beg,こ-うko-u
拷,S,torture,ゴウgō
剛,S,sturdy,ゴウgō
傲,S,be proud,ゴウgō
豪,S,overpowering,ゴウgō
克,S,overcome,コクkoku
酷,S,cruel,コクkoku
獄,S,prison,ゴクgoku
駒,S,horse,こまkoma
込,S,crowded,"こ-む、こ-めるko-mu, ko-meru"
頃,S,times,ころkoro
昆,S,descendants,コンkon
恨,S,rancor,"コン、うら-む、うら-めしいkon, ura-mu, ura-meshii"
婚,S,marriage,コンkon
痕,S,mark,"コン、あとkon, ato"
紺,S,dark blue,コンkon
魂,S,soul,"コン、たましいkon, tamashii"
墾,S,ground-breaking,コンkon
懇,S,sociable,"コン、ねんご-ろkon, nengo-ro"
沙,S,sand,サsa
唆,S,tempt,"サ、そそのか-すsa, sosonoka-su"
詐,S,lie,サsa
鎖,S,chain,"サ、くさりsa, kusari"
挫,S,sprain,ザza
采,S,form,サイsai
砕,S,smash,"サイ、くだ-く、くだ-けるsai, kuda-ku, kuda-keru"
宰,S,superintend,サイsai
栽,S,plantation,サイsai
彩,S,coloring,"サイ、いろど-るsai, irodo-ru"
斎,S,purification,サイsai
債,S,bond,サイsai
催,S,sponsor,"サイ、もよお-すsai, moyoo-su"
塞,S,obstruct,"サイ、ソク、ふさ-ぐ、ふさ-がるsai, soku, fusa-gu, fusa-garu"
歳,S,year-end,"サイ、（セイ）sai, (sei)"
載,S,ride,"サイ、の-せる、の-るsai, no-seru, no-ru"
剤,S,dose,ザイzai
削,S,plane,"サク、けず-るsaku, kezu-ru"
柵,S,fence,サクsaku
索,S,cord,サクsaku
酢,S,vinegar,"サク、すsaku, su"
搾,S,squeeze,"サク、しぼ-るsaku, shibo-ru"
錯,S,confused,サクsaku
咲,S,blossom,さ-くsa-ku
刹,S,temple,"サツ、セツsatsu, setsu"
拶,S,be imminent,サツsatsu
撮,S,snapshot,"サツ、と-るsatsu, to-ru"
擦,S,grate,"サツ、す-る、す-れるsatsu, su-ru, su-reru"
桟,S,scaffold,サンsan
惨,S,wretched,"サン、ザン、みじ-めsan, zan, miji-me"
傘,S,umbrella,"サン、かさsan, kasa"
斬,S,kill by slicing,"ザン、き-るzan, ki-ru"
暫,S,temporarily,ザンzan
旨,S,delicious,"シ、むねshi, mune"
伺,S,pay respects,"シ、うかが-うshi, ukaga-u"
刺,S,thorn,"シ、さ-す、さ-さるshi, sa-su, sa-saru"
祉,S,welfare,シshi
肢,S,limb,シshi
施,S,carry out,"シ、セ、ほどこ-すshi, se, hodoko-su"
恣,S,selfish,シshi
脂,S,fat,"シ、あぶらshi, abura"
紫,S,purple,"シ、むらさきshi, murasaki"
嗣,S,heir,シshi
雌,S,feminine,"シ、め、めすshi, me, mesu"
摯,S,seriousness,シshi
賜,S,grant,"シ、たまわ-るshi, tamawa-ru"
諮,S,consult with,"シ、はか-るshi, haka-ru"
侍,S,waiter,"ジ、さむらいji, samurai"
慈,S,mercy,"ジ、いつく-しむji, itsuku-shimu"
餌 [8],S,bait,"ジ、えさ、えji, esa, e"
璽,S,emperor's seal,ジji
軸,S,axis,ジクjiku
𠮟 [5],S,scold,"シツ、しか-るshitsu, shika-ru"
疾,S,rapidly,シツshitsu
執,S,tenacious,"シツ、シュウ、と-るshitsu, shū, to-ru"
湿,S,damp,"シツ、しめ-る、しめ-すshitsu, shime-ru, shime-su"
嫉,S,envy,シツshitsu
漆,S,lacquer,"シツ、うるしshitsu, urushi"
芝,S,turf,しばshiba
赦,S,pardon,シャsha
斜,S,diagonal,"シャ、なな-めsha, nana-me"
煮,S,boil,"シャ、に-る、に-える、に-やすsha, ni-ru, ni-eru, ni-yasu"
遮,S,intercept,"シャ、さえぎ-るsha, saegi-ru"
邪,S,wicked,ジャja
蛇,S,snake,"ジャ、ダ、へびja, da, hebi"
酌,S,bartending,"シャク、く-むshaku, ku-mu"
釈,S,explanation,シャクshaku
爵,S,baron,シャクshaku
寂,S,loneliness,"ジャク、（セキ）、さび、さび-しい、さび-れるjaku, (seki), sabi, sabi-shii, sabi-reru"
朱,S,vermilion,シュshu
狩,S,hunt,"シュ、か-る、か-りshu, ka-ru, ka-ri"
殊,S,particularly,"シュ、ことshu, koto"
珠,S,pearl,シュshu
腫,S,tumor,"シュ、は-れる、は-らすshu, ha-reru, ha-rasu"
趣,S,gist,"シュ、おもむきshu, omomuki"
寿,S,longevity,"ジュ、ことぶきju, kotobuki"
呪,S,curse,"ジュ、のろ-うju, noro-u"
需,S,demand,ジュju
儒,S,Confucian,ジュju
囚,S,captured,シュウshū
舟,S,boat,"シュウ、ふね、（ふな）shū, fune, (funa)"
秀,S,excel,"シュウ、ひい-でるshū, hii-deru"
臭,S,stinking,"シュウ、くさ-い、にお-うshū, kusa-i, nio-u"
袖,S,sleeve,"シュウ、そでshū, sode"
羞,S,feel ashamed,シュウshū
愁,S,distress,"シュウ、うれ-える、うれ-いshū, ure-eru, ure-i"
酬,S,repay,シュウshū
醜,S,ugly,"シュウ、みにく-いshū, miniku-i"
蹴,S,kick,"シュウ、け-るshū, ke-ru"
襲,S,attack,"シュウ、おそ-うshū, oso-u"
汁,S,soup,"ジュウ、しるjū, shiru"
充,S,allot,"ジュウ、あ-てるjū, a-teru"
柔,S,tender,"ジュウ、ニュウ、やわ-らか、やわ-らかいjū, nyū, yawa-raka, yawa-rakai"
渋,S,astringent,"ジュウ、しぶ、しぶ-い、しぶ-るjū, shibu, shibu-i, shibu-ru"
銃,S,gun,ジュウjū
獣,S,animal,"ジュウ、けものjū, kemono"
叔,S,uncle,シュクshuku
淑,S,graceful,シュクshuku
粛,S,solemn,シュクshuku
塾,S,cram school,ジュクjuku
俊,S,genius,シュンshun
瞬,S,wink,"シュン、またた-くshun, matata-ku"
旬,S,10-day period (of the month),"ジュン、（シュン）jun, (shun)"
巡,S,patrol,"ジュン、めぐ-るjun, megu-ru"
盾,S,shield,"ジュン、たてjun, tate"
准,S,quasi-,ジュンjun
殉,S,martyrdom,ジュンjun
循,S,sequential,ジュンjun
潤,S,wet,"ジュン、うるお-う、うるお-す、うる-むjun, uruo-u, uruo-su, uru-mu"
遵,S,abide by,ジュンjun
庶,S,commoner,ショsho
緒,S,thong,"ショ、（チョ）、おsho, (cho), o"
如,S,likeness,"ジョ、ニョjo, nyo"
叙,S,confer,ジョjo
徐,S,gradually,ジョjo
升,S,measuring box,"ショウ、ますshō, masu"
召,S,summon,"ショウ、め-すshō, me-su"
匠,S,artisan,ショウshō
床,S,bed,"ショウ、とこ、ゆかshō, toko, yuka"
抄,S,extract,ショウshō
肖,S,resemblance,ショウshō
尚,S,esteem,ショウshō
昇,S,rise up,"ショウ、のぼ-るshō, nobo-ru"
沼,S,marsh,"ショウ、ぬまshō, numa"
宵,S,wee hours,"ショウ、よいshō, yoi"
症,S,symptoms,ショウshō
祥,S,auspicious,ショウshō
称,S,appellation,ショウshō
渉,S,ford,ショウshō
紹,S,introduce,ショウshō
訟,S,sue,ショウshō
掌,S,manipulate,ショウshō
晶,S,sparkle,ショウshō
焦,S,char,"ショウ、こ-げる、こ-がす、こ-がれる、あせ-るshō, ko-geru, ko-gasu, ko-gareru, ase-ru"
硝,S,nitrate,ショウshō
粧,S,cosmetics,ショウshō
詔,S,imperial edict,"ショウ、みことのりshō, mikotonori"
奨,S,exhort,ショウshō
詳,S,detailed,"ショウ、くわ-しいshō, kuwa-shii"
彰,S,patent,ショウshō
憧,S,desire,"ショウ、あこが-れるshō, akoga-reru"
衝,S,collide,ショウshō
償,S,reparation,"ショウ、つぐな-うshō, tsuguna-u"
礁,S,reef,ショウshō
鐘,S,bell,"ショウ、かねshō, kane"
丈,S,length,"ジョウ、たけjō, take"
冗,S,superfluous,ジョウjō
浄,S,clean,ジョウjō
剰,S,surplus,ジョウjō
畳,S,tatami mat,"ジョウ、たた-む、たたみjō, tata-mu, tatami"
壌,S,lot,ジョウjō
嬢,S,lass,ジョウjō
錠,S,lock,ジョウjō
譲,S,defer,"ジョウ、ゆず-るjō, yuzu-ru"
醸,S,brew,"ジョウ、かも-すjō, kamo-su"
拭,S,wipe,"ショク、ふ-く、ぬぐ-うshoku, fu-ku, nugu-u"
殖,S,augment,"ショク、ふ-える、ふ-やすshoku, fu-eru, fu-yasu"
飾,S,decorate,"ショク、かざ-るshoku, kaza-ru"
触,S,contact,"ショク、ふ-れる、さわ-るshoku, fu-reru, sawa-ru"
嘱,S,entrust,ショクshoku
辱,S,embarrass,"ジョク、はずかし-めるjoku, hazukashi-meru"
尻,S,buttocks,しりshiri
伸,S,lengthen,"シン、の-びる、の-ばす、の-べるshin, no-biru, no-basu, no-beru"
芯,S,core,シンshin
辛,S,spicy,"シン、から-いshin, kara-i"
侵,S,encroach,"シン、おか-すshin, oka-su"
津,S,haven,"シン、つshin, tsu"
唇,S,lips,"シン、くちびるshin, kuchibiru"
娠,S,with child,シンshin
振,S,shake,"シン、ふ-る、ふ-るう、ふ-れるshin, fu-ru, fu-rū, fu-reru"
浸,S,immersed,"シン、ひた-す、ひた-るshin, hita-su, hita-ru"
紳,S,sire,シンshin
診,S,checkup,"シン、み-るshin, mi-ru"
寝,S,lie down,"シン、ね-る、ね-かすshin, ne-ru, ne-kasu"
慎,S,humility,"シン、つつし-むshin, tsutsushi-mu"
審,S,examine,シンshin
震,S,quake,"シン、ふる-う、ふる-えるshin, furu-u, furu-eru"
薪,S,fuel,"シン、たきぎshin, takigi"
刃,S,blade,"ジン、はjin, ha"
尽,S,exhaust,"ジン、つ-くす、つ-きる、つ-かすjin, tsu-kusu, tsu-kiru, tsu-kasu"
迅,S,swift,ジンjin
甚,S,tremendously,"ジン、はなは-だ、はなは-だしいjin, hanaha-da, hanaha-dashii"
陣,S,camp,ジンjin
尋,S,inquire,"ジン、たず-ねるjin, tazu-neru"
腎,S,kidney,ジンjin
須,S,by all means,スsu
吹,S,blow,"スイ、ふ-くsui, fu-ku"
炊,S,cook,"スイ、た-くsui, ta-ku"
帥,S,commander,スイsui
粋,S,chic,"スイ、いきsui, iki"
衰,S,decline,"スイ、おとろ-えるsui, otoro-eru"
酔,S,drunk,"スイ、よ-うsui, yo-u"
遂,S,consummate,"スイ、と-げるsui, to-geru"
睡,S,drowsy,スイsui
穂,S,ear,"スイ、ほsui, ho"
随,S,follow,ズイzui
髄,S,marrow,ズイzui
枢,S,hinge,スウsū
崇,S,adore,スウsū
据,S,set,"す-える、す-わるsu-eru, su-waru"
杉,S,cedar,すぎsugi
裾,S,cuff,すそsuso
瀬,S,rapids,せse
是,S,just so,ゼze
姓,S,surname,"セイ、ショウsei, shō"
征,S,subjugate,セイsei
斉,S,adjusted,セイsei
牲,S,animal sacrifice,セイsei
凄,S,uncanny,セイsei
逝,S,departed,"セイ、ゆ-く、い-くsei, yu-ku, i-ku"
婿,S,bridegroom,"セイ、むこsei, muko"
誓,S,vow,"セイ、ちか-うsei, chika-u"
請,S,solicit,"セイ、（シン）、こ-う、う-けるsei, (shin), ko-u, u-keru"
醒,S,be disillusioned,セイsei
斥,S,reject,セキseki
析,S,chop,セキseki
脊,S,stature,セキseki
隻,S,vessels,セキseki
惜,S,pity,"セキ、お-しい、お-しむseki, o-shii, o-shimu"
